측정일시,작업유형,예측_전기요금,예측_전력사용량
2024-12-01 00:15:00,Light_Load,1526.083372042916,4.287799999999999
2024-12-01 00:30:00,Light_Load,1471.160382476461,4.2272
2024-12-01 00:45:00,Light_Load,1411.8384615109926,4.398200000000002
2024-12-01 01:00:00,Light_Load,1582.4080302379232,4.070099999999999
2024-12-01 01:15:00,Light_Load,1448.5145448574317,3.910999999999995
2024-12-01 01:30:00,Light_Load,835.752797468681,3.8737
2024-12-01 01:45:00,Light_Load,632.1282746390735,3.8944999999999976
2024-12-01 02:00:00,Light_Load,665.324801749124,3.774899999999995
2024-12-01 02:15:00,Light_Load,638.7310300535246,3.798099999999995
2024-12-01 02:30:00,Light_Load,646.2956258659067,3.738699999999995
2024-12-01 02:45:00,Light_Load,640.9517834587944,3.6581
2024-12-01 03:00:00,Light_Load,642.3526787511474,3.495899999999998
2024-12-01 03:15:00,Light_Load,656.4528494809257,3.3457999999999983
2024-12-01 03:30:00,Light_Load,646.422626375193,3.289899999999997
2024-12-01 03:45:00,Light_Load,639.738489844438,3.2516999999999983
2024-12-01 04:00:00,Light_Load,641.2114247602047,3.349499999999998
2024-12-01 04:15:00,Light_Load,621.3002249903664,3.3401000000000027
2024-12-01 04:30:00,Light_Load,629.3401860177554,3.4386999999999994
2024-12-01 04:45:00,Light_Load,636.0633606777351,3.3454999999999995
2024-12-01 05:00:00,Light_Load,618.6539155804456,3.3928
2024-12-01 05:15:00,Light_Load,654.8562889566175,3.674200000000001
2024-12-01 05:30:00,Light_Load,642.4388233317515,3.675899999999996
2024-12-01 05:45:00,Light_Load,614.1065564969635,3.4126999999999987
2024-12-01 06:00:00,Light_Load,633.7398581194552,3.499000000000001
2024-12-01 06:15:00,Light_Load,595.532212504284,3.4031000000000007
2024-12-01 06:30:00,Light_Load,590.093113651835,3.3116000000000003
2024-12-01 06:45:00,Light_Load,618.8039588814027,3.235199999999998
2024-12-01 07:00:00,Light_Load,591.2704959853249,3.2524
2024-12-01 07:15:00,Light_Load,591.4113940420631,3.2779000000000007
2024-12-01 07:30:00,Light_Load,627.3077484483337,3.522199999999998
2024-12-01 07:45:00,Light_Load,627.6427505167053,3.9098
2024-12-01 08:00:00,Light_Load,657.5654788318661,7.28899999999999
2024-12-01 08:15:00,Light_Load,2987.316851079668,19.82590000000003
2024-12-01 08:30:00,Light_Load,5099.591338136448,35.889800000000015
2024-12-01 08:45:00,Light_Load,5009.175825424266,36.45530000000004
2024-12-01 09:00:00,Light_Load,4487.1347884197685,39.84400000000001
2024-12-01 09:15:00,Medium_Load,4531.913421827176,44.40460000000001
2024-12-01 09:30:00,Medium_Load,4208.474275831759,42.913299999999936
2024-12-01 09:45:00,Medium_Load,3902.701384134431,50.663599999999896
2024-12-01 10:00:00,Medium_Load,4277.6601595427965,67.08049999999994
2024-12-01 10:15:00,Maximum_Load,4859.170336960032,80.52239999999998
2024-12-01 10:30:00,Maximum_Load,4722.476161613901,82.19120000000007
2024-12-01 10:45:00,Maximum_Load,5350.04008874557,70.48659999999998
2024-12-01 11:00:00,Maximum_Load,5385.783507479326,78.44670000000008
2024-12-01 11:15:00,Maximum_Load,4420.75314503536,72.05710000000008
2024-12-01 11:30:00,Maximum_Load,4728.900585856802,79.13140000000011
2024-12-01 11:45:00,Maximum_Load,4596.842613978425,69.54230000000001
2024-12-01 12:00:00,Maximum_Load,4650.411719187637,52.70230000000002
2024-12-01 12:15:00,Medium_Load,1975.1005320648924,6.8048000000000135
2024-12-01 12:30:00,Medium_Load,2130.9842612115262,7.399600000000015
2024-12-01 12:45:00,Medium_Load,2026.400788249567,8.257500000000013
2024-12-01 13:00:00,Medium_Load,2033.2836990431704,16.132400000000015
2024-12-01 13:15:00,Medium_Load,3261.643303359054,29.403100000000013
2024-12-01 13:30:00,Medium_Load,4813.698867824779,78.9441000000001
2024-12-01 13:45:00,Medium_Load,4934.71725781457,72.39080000000003
2024-12-01 14:00:00,Medium_Load,4696.266797689046,67.71349999999995
2024-12-01 14:15:00,Medium_Load,4892.276581055573,52.58050000000005
2024-12-01 14:30:00,Medium_Load,4698.0926853647625,37.564599999999984
2024-12-01 14:45:00,Medium_Load,4775.501792961193,33.49219999999998
2024-12-01 15:00:00,Medium_Load,4404.07111505919,35.86349999999999
2024-12-01 15:15:00,Medium_Load,3877.276429822376,32.66260000000002
2024-12-01 15:30:00,Medium_Load,3675.68283711613,29.517899999999983
2024-12-01 15:45:00,Medium_Load,3696.9877523346618,29.67000000000002
2024-12-01 16:00:00,Medium_Load,3674.7355601849904,31.892299999999977
2024-12-01 16:15:00,Medium_Load,4119.5960830184695,30.38770000000005
2024-12-01 16:30:00,Medium_Load,4303.2270886841325,28.96080000000002
2024-12-01 16:45:00,Medium_Load,4168.198016987311,28.43750000000004
2024-12-01 17:00:00,Medium_Load,3588.3205777671483,26.66819999999999
2024-12-01 17:15:00,Maximum_Load,3844.316572791945,23.27889999999998
2024-12-01 17:30:00,Maximum_Load,3614.7424826899255,21.158399999999983
2024-12-01 17:45:00,Maximum_Load,2785.227672963122,21.11459999999998
2024-12-01 18:00:00,Maximum_Load,2691.798012756858,19.99129999999998
2024-12-01 18:15:00,Maximum_Load,2439.9338714111277,19.8054
2024-12-01 18:30:00,Maximum_Load,2183.3461485659604,9.606800000000014
2024-12-01 18:45:00,Maximum_Load,2618.759204325331,6.047200000000006
